编号,企业名称,股票简称,上市公司行业,招聘岗位,工作城市,最低月薪,最高月薪,职位描述,学历要求,要求经验,招聘类别,招聘发布日期,招聘结束日期,预测行业
2791,浙江福莱新材料股份有限公司,福莱新材,橡胶和塑料制品业,行政高级主管,嘉兴,10000.0,13000.0,岗位职责: 1、负责公司浙江基地行政部年度目标，计划、制定、参与各项政策和制度的推行； 2、负责行政部年度预算费用控制，做好提效降本工作; 3、根据不同时期行政服务需求点，有前瞻性的提供服务与支持; 4、不断迭代行政服务模式，推进人员专业配备; 5、各事业部和子公司行政基础服务如食堂、保洁、保安、宿舍、车辆、资产、易耗品等统筹管理; 6、积极主办或协助，开展年度文化活动及福利政策的执行; 7、积极配合，做好总部各项接待工作、公文管理和档案管理； 8、做好总部办公运营管理； 9、辅助领导做好部门管理； 任职资格: 1、大学本科以上，企业管理、行政管理相关专业； 2、8年以上行政经验，其中5年以上制造业行政管理岗位经验； 3、善于人际沟通协调、责任心强、考虑问题全面细致、性格开朗、有团队合作精神； 4、具备10人以上团队管理经验；,本科,5年及以上,印刷/包装/造纸,2026-01-23,2026-03-23,人力/财务/行政
2792,深圳市八六三新材料技术有限责任公司,力合科创,橡胶和塑料制品业,lims系统跟进,深圳,6000.0,10000.0,1.负责LIMS系统日常运行的跟踪与维护，确保系统稳定运行； 2.协助收集和整理系统使用过程中的问题，及时反馈并推动解决； 3.配合项目团队完成系统部署、测试及优化相关工作； 4.与各部门沟通协调，了解系统使用需求，提升用户体验。 【任职要求】 1、学历要求：本科及以上学历。 2、专业要求：计算机、信息化等专业。 3、经验要求：无。 4、能力要求： （1）具备计算机及信息化相关专业基础。 （2）具备良好的团队合作精神和沟通能力，服从安排。 （3）工作细致认真，积极，有责任心和较强的学习能力。,本科,经验不限,学术/科研,2026-02-27,2026-04-27,销售/市场/客服
2793,金发科技股份有限公司,金发科技,橡胶和塑料制品业,结构设计工程师-CAD&CAE(J11718),广州,18000.0,25000.0,工作职责: 1、CAD建模与结构设计： 负责新产品或零部件的3D详细设计、装配及2D工程图输出。 根据仿真和测试结果，对设计进行迭代优化，完成设计变更。 建立和维护标准件库、设计模板，提升团队设计效率。 2、CAE仿真分析与优化： 运用有限元分析（FEA）进行结构静力学、动力学、疲劳寿命及热力学仿真，评估设计方案的强度、刚度及可靠性。 针对塑料、复合材料等制品，进行模流分析（MFA），预测填充、翘曲、缩痕等缺陷，优化模具浇注系统和成型工艺参数。 编写仿真分析报告，清晰呈现分析假设、过程、结果及改进建议，为设计决策提供数据支持。 3、跨部门协同与支持： 与产品经理、工艺工程师、模具工程师紧密合作，确保设计可行性。 为测试部门提供仿真预判，协助制定测试方案，并参与分析试验与仿真结果的差异。 支持生产部门，解决量产中出现的与设计相关的技术问题。 任职资格: 1、3年以上结构设计相关工作经验，硕士及以上学历并取得相应学位，机械设计制造及其自动化、材料成型及控制工程、工程力学、车辆工程、高分子材料与工程等相关专业。 2、具备CAD技能： 精通 SolidWorks / UG NX / CATIA / Creo 等至少一款主流三维设计软件，能独立完成复杂装配体设计。或CAE技能： 具备扎实的力学理论基础，熟悉至少一款仿真软件（如 ANSYS、Abaqus、HyperWorks 等）的结构分析模块。或模流分析技能： 熟悉 Moldflow / Moldex3D 的操作与应用，有实际项目经验者优先。分析能力： 优秀的逻辑分析与问题解决能力，能清晰解读仿真数据并提出有效改进方案。 3、掌握Python/Matlab等工具进行数据处理或自动化脚本开发者。具备试验设计（DOE） 和优化设计经验者优先。,硕士,3年及以上,原材料和加工,2026-01-19,2026-03-19,生产制造/汽车
2794,安徽凯泽新材料有限公司,英科医疗,橡胶和塑料制品业,电气电仪工程师,淮北,10000.0,15000.0,1、能处理十千伏以下的电气工作，电气回路得设计与选型； 2、故障处理， 能够完成简单得组件与故障排查； 3、带团队能力，日常设备台账管理； 4、现场仪表故障处理；有项目施工经验更优； 学历：大专及以上，40岁及以下；化工经验者优先；,本科,5年及以上,化学原料/化学制品,2026-02-13,2026-04-13,销售/市场/客服
2795,上海普利特复合材料股份有限公司,普利特,橡胶和塑料制品业,仓储专员,马鞍山,5000.0,7000.0,岗位目标 负责工厂货物的入库、出库、盘点及库存管理等工作，保障仓储流程合规高效，确保库存数据准确、账实相符，协同跨部门完成物流相关任务，助力优化库存周转效率。 核心岗位职责 1. 货物全流程管理：负责货物入库验收、出库复核、日常库存管理及库存数据实时更新，严格把控每一个环节，确保账、物、卡三者一致，保障货物存储安全。 2. 单据与文件处理：精准核对收发货单据信息，确保单据与实物一致；及时整理、归档各类仓储文件资料，建立完整的仓储档案，保障仓储流程合规可追溯。 3. 库存优化维护：定期开展库存盘点工作，形成盘点报告并跟进差异处理；协助识别滞销、临期货品，配合制定处理方案，优化库存结构，提升库存周转效率。 4. 跨部门协作支持：积极配合物流、采购等部门，高效完成货物调拨、退货、补货等跨部门协作任务，主动沟通对接，保障供应链环节顺畅衔接。 任职要求 1. 学历专业：大专及以上学历，物流管理、仓储管理、供应链管理等相关专业优先考虑。 2. 经验技能：具备1年及以上仓储相关工作经验，熟悉仓储作业流程，能熟练操作ERP系统及办公软件，具备基础数据统计与分析能力。 3. 素质能力：工作细心严谨、责任心强，具备良好的执行力与问题处理能力；拥有较强的沟通协调能力，能高效配合跨部门工作；原则性强，严格遵守仓储管理制度。,大专,1年及以上,石油/化工/矿产/地质,2026-01-26,2026-03-26,销售/市场/客服
2796,上海恩捷新材料科技有限公司,恩捷股份,橡胶和塑料制品业,HRBP(锂电行业）,上海,20000.0,25000.0,岗位职责： 1.负责集团制造板块HRBP工作 2.主导部门体系任职资格建设 3.推动关键技术岗位招聘，年度招聘达成率不低于90% 4.设计部门人员培养方案 5.分析部门人效数据，季度产出人力配置优化报告 任职要求： 1.10年以上HRBP经验，5年制造业/新能源行业背景 2.具备数据分析能力，熟练使用Power BI等工具 4.本科以上学历，人力资源/心理学专业优先 5.英语CET-4以上,本科,8年及以上,新能源,2026-03-02,2026-05-02,生产制造/汽车
2797,深圳迈德瑞纳生物科技有限公司,中红医疗,橡胶和塑料制品业,经理助理/秘书,深圳,5000.0,8000.0,岗位职责： 1.领导出差及时间安排（包括但不限于订机酒等）； 2.工作信息收集、汇总（包括但不限于会议记录等） 3.PPT及发言稿的初步拟定； 4.参与商务沟通（包括但不限于短期出差）； 5.上级安排的其他工作事项。 任职资格： 1.本科以上，专业不限，文字功底良好； 2.性格外向，沟通协调能力良好，情商高； 3.会使用office办公软件（包括但不限于word、PPT制作等） 4.勤奋、服务意识强，***； 5.计划与统筹能力良好； 6.能接受短期出差。 发展方向：战略投资部助理、国内销售助理、行政人事助理 此职位需要持C2以上驾照，需自驾出差 来自：,本科,1年及以上,医疗设备/器械,2026-03-02,2026-05-02,人力/财务/行政
2798,厦门建霖健康家居股份有限公司,建霖家居,橡胶和塑料制品业,产品结构设计工程师,厦门,8000.0,16000.0,工作职责 1、新产品估价，根据工业设计的外形，进行结构/生产可行性报告建议 2、新产品设计，负责新产品结构可行性设计的完成，并改善、解决设计中出现的问题 3、新产品开发，协助新品打样及资料提供，样品的组装及测试，以及跟踪试产中的不良问题的处理 4、产品结构改善，协助相关单位对现有产品出现的问题进行改善，跟进，提出解决方案 任职资格 1、大专及以上学历，能熟练运用Creo，CAD等相关软件 2、具备2年以上淋浴器/龙头/花洒/洁具/管业/小家电等结构及工艺者优先 3、熟悉常规金属材料和塑料材料的性能与品质，熟悉模具结构和机械加工 4、熟悉卫浴行业的国家标准和行业标准 5、能将工业设计的概念性产品，进行结构创新，变为现实,大专,5年及以上,金属制品业,2026-01-27,2026-03-27,销售/市场/客服
2799,深圳瑞波光电子有限公司,力合科创,橡胶和塑料制品业,自动化研发工程师,深圳,20000.0,30000.0,岗位职责 1） 能独立负责非标自动化设备整机软件、电气控制研发设计，分析和解决调试过程中出现的各种技术问题 2） 协同其他技术工程师，对现有测试设备产品不对优化和升级 3） 针对客户新产品应用需求，设计电气方案，能够提出高价值的解决方案 4） 主管安排的其他工作 任职要求： 1） 硕士研究生2年以上或者本科在本行业工作5年以上，测控、自动化、控制理论与控制工程等相关专业，英语过六级 2） 有过视觉项目的成功经验。熟悉运动机构的控制原理，熟练掌握各种气动元件、光电元件和传感器的应用，熟悉自动化设备电气元件 3） 有LabView/LabWindows/CVI/C#/C++等语言测试控制设备开发经验优先，热爱自动化系统工程技术，善于学习新知识 4） 能吃苦耐劳，有较强的责任心和抗压能力，工作效率高，沟通协调能力强，具有良好的团队合作和敬业精神 （ ）,本科,3年及以上,电子技术/半导体/集成电路,2026-03-03,2026-05-03,销售/市场/客服
2800,厦门松霖科技股份有限公司,松霖科技,橡胶和塑料制品业,【机器人】规控算法主管,厦门,25000.0,45000.0,岗位职责: 1、主导机器人定位、建图、路径规划、运动控制及多传感器融合的完整算法架构设计，确保系统具备高可靠性、高实时性及良好的可扩展性，以满足不同产品形态的需求。 2、研发在高动态、非结构化复杂场景（如密集人流、不平整地面、狭小空间）下具有卓越鲁棒性的规划与控制算法。针对机器人硬件特性，进行运动模型的精确标定与控制参数的深度优化，提升运动精度与能效。 3、主导算法从仿真到真实机器人的部署、调试与性能调优全流程，解决落地过程中的关键瓶颈问题。 4、协同感知、软硬件、产品等部门，将规控算法与机器人整体系统深度集成，解决跨模块联调中的关键技术问题，为最终产品的运动性能负责。 5、制定机器人规划与控制技术的长期发展路线图，主导前沿技术的预研、引入与落地，确保团队技术方向的前瞻性与竞争力。 任职要求: 1、硕士及以上学历，自动化、机械电子、计算机、机器人学等相关专业。 3、5年以上机器人移动平台规划与控制算法研发经验，其中至少2年为技术团队管理、项目主导或架构设计经验。具备从0到1研发并成功落地机器人移动产品或重大模块的经验者优先。 3、精通机器人运动学与动力学建模、状态估计、轨迹规划、反馈控制等核心理论。深入理解主流导航框架的原理与实现，具备基于其进行深度定制和性能优化的能力。熟悉常用传感器在定位与导航中的应用及多传感器融合技术。,硕士,8年及以上,装饰装修,2026-02-24,2026-04-24,销售/市场/客服
2801,上海亚虹模具股份有限公司,上海亚虹,橡胶和塑料制品业,装模工,上海,7000.0,9000.0,【工作内容】 - 负责按照生产指令和工艺要求进行模具的安装与调试； - 检查模具状态，确保设备运行正常，保障生产顺利进行； - 协助维护和保养模具，延长使用寿命； - 配合团队完成生产任务，保证产品质量和效率。 【任职要求】 - 不限学历及工作经验，有相关经验者优先； - 具备良好的责任心和团队协作精神； - 能适应一定强度的体力劳动，具备基本的安全意识； - 有较强的学习能力，能快速掌握岗位技能。,学历不限,1年及以上,汽车零配件,2026-01-12,2026-03-12,互联网/软硬件技术
2802,大韩道恩高分子材料（上海）有限公司,道恩股份,橡胶和塑料制品业,采购内勤,上海,5000.0,6000.0,岗位职责：负责审核比价单、盖章归档合同、登记发票、报批付款单、结算能源费用等内勤管理工作。 1.审核比价单，保证比价合理、单据真实准确； 2.审核采购合同与比价单是否匹配并盖章归档； 3.审核、报批付款单； 4.登记发票抵扣联并提交财务部，登记快递收寄台账； 5.完成上级领导交办的其他临时性工作。,本科,2年及以上,原材料和加工,2026-02-25,2026-04-25,生产制造/汽车
2803,中国平安人寿保险股份有限公司,中国平安,保险业,029167-导师培育岗,深圳,10000.0,15000.0,1、导师培养体系建设：设计导师培养体系，完成课程研发、讲师培养、培训运作；搭建日常训练与交流平台 2、导师荣誉体系建设：规划导师专项荣誉体系，线上+线下双线运营 3、导师选拔与管理：开展导师评聘，建立导师绩效考核体系，开展制式课程授权培训，确保导师健康梯队 任职资格：1、本科及以上学历，教育学、教育技术学、人力资源管理等相关专业优先 2、2年以上教培行业、企业培训体系搭建或人力资源管理经验，有人员培养、人才发展项目落地经验者优先 3、熟悉课程研发、培训运营全流程，具备课程研发经验者优先 4、责任心强，擅长跨部门协作，熟练使用数据分析工具进行培训效果评估,本科,2年及以上,保险,2026-02-12,2026-04-12,人力/财务/行政
2804,中国中药控股有限公司,中国平安,保险业,销售支持专员 （数据分析岗）(J11129),佛山,6000.0,9000.0,岗位职责: 1、数据分析与建模 （1）负责月会数据分析，数据指标体系建立，数据分析模板搭建，各类重点业务指标统计分析等相关工作。 （2）负责各类业务核算及核算模板搭建。 （3）负责各产品sku销售预测结果输出。 （4）负责月度营运数据分析及报告输出（含控股数据对接）。 （5）负责流失单位管理相关工作。 （6）负责逾期应收市场对接相关工作。 （7）完成安排的其他专项数据分析。 2、数据收集与处理 负责多源数据的收集、清洗、整理与存储，数据处理流程的高效搭建，确保数据准确性与完整性。 3、报告撰写与可视化 月报及专项分析PPT/报告制作，通过静态图表（柱状图、折线图、复合图等）或动态图表直观呈现分析结果，支持管理层决策。 4、跨部门协作与业务支持 与生产、战略运营、市场、财务等部门协作，理解业务需求并提供相关数据分析结果。 5、其他领导交办的临时性工作任务 任职要求: 1、学历要求：本科及以上学历，统计学、数学、计算机科学等相关专业优先 2、数据分析工具：精通Excel（函数、数据透视表），熟练Tableau/PowerBI等可视化工具。 3、岗位经验：2年以上数据分析相关岗位经验。 4、逻辑性强：能够从海量数据中提炼关键信息，形成结构化结论。 5、沟通能力：具备跨部门协调能力，能将技术语言转化为业务语言。 6、抗压能力：适应快节奏工作，能独立完成高复杂度分析任务。 7、个性及心理要求：心胸豁达，积极主动，有进取心，学习力强；勇于担责，情绪管理较好、抗压能力强；乐于分享，乐于奉献，具有忠诚敬畏之心。,本科,5年及以上,医药制造,2026-03-03,2026-05-03,生产制造/汽车
2805,中国平安人寿保险股份有限公司,中国平安,保险业,保险康养顾问高才计划（珠22）,珠海,15000.0,30000.0,"一、项目背景 平安集团，作为中国领先的综合性金融服务集团，致力于为客户提供全方位的金融与医疗健康服务。近年来，平安人寿依托集团综合金融+医疗养老生态布局，推出6大产品+服务体系；顺应长寿时代发展趋势，响应国家高质量发展战略，重磅推出保险康养顾问培养计划。 其中“高才计划”是公司面向市场推出的吸引优秀个人及主管的高端人才发展项目，旨在招募三类精英人群：经验丰富的保险主管、业绩卓越的个人销售精英、及其他行业高端人才。通过专属培训及资源支持，助力您实现职业跃升。 二、工作职责 1、客户咨询与服务：深入了解客户需求，通过专业咨询，是“一站式解决方案的价值传递者”; 2、客户关系管理：建立并维护良好的客户关系，定期回访客户，了解客户需求的变化； 3、市场拓展与营销：积极参与公司组织的各类市场拓展与营销活动，提升品牌知名度，吸引潜在客户； 4、团队协作与培训：与团队成员紧密合作，共同推动个人及团队发展；同时，参与内部培训，不断提升自身的专业素养和服务能力。 三、招募要求 1、年龄：25-55岁（根据人群略有差异，绩优及非同业加盟28-55周岁）； 2、学历：主管/个人绩优要求大专及以上学历，非同业加盟本科及以上学历； 3、品质：无不良从业记录、无违法犯罪或失信记录，业务品质良好； 4、过往从业经验：主管要求在保险行业连续任职满1年，且任主管6个月以上，过去5年任职公司≤2家；个人绩优要求在保险行业连续任职满2年，过去5年任职公司≤2家；非同业加盟在其他行业任职销售/高级管理岗位满2年。 四、职位亮点 1、高起点职级：根据考核结果及资质评估,有机会套转高职级并适当减免初期考核压力 2、享受专属津贴 3、专属入司流程：简化入司流程，入司更便捷 4、培训支持：优化常规培训流程，享专属培训赋能 5、产品销售权限：产品权限快速开通，支持销售复杂及新型保险产品 6、广阔的晋升发展空间：保险主管及个人绩优晋升考核减免，快速晋升 *本材料旨在招募保险代理人，其中“保险康养顾问”、“保险主管”指的是保险代理人，其展业范围是销售保险。",大专,1年及以上,保险,2026-03-03,2026-05-03,销售/市场/客服
2806,上海市健康养老发展（集团）有限公司,中国太保,保险业,下属公司副总经理,上海,25000.0,33333.0,岗位职责： 1、负责协助总经理制定公司战略规划和发展目标，确保业务的长期稳定增长；2、负责公司为老助餐板块的日常管理和运营工作； 3、负责监督和管理团队，确保食品安全、服务质量符合行业标准，提高客户满意度，维护公司品牌形象； 4、负责建立和维护与政府部门、合作伙伴的关系，争取政策支持与资源合作，拓展业务渠道； 5、负责对公司为老助餐板块的经营状况进行分析，提供决策支持，确保业务板块的经营稳健； 6、负责推动公司内部管理制度的完善与优化，提升管理效率，确保业务板块的合规运营。 任职资格： 1、本科及以上学历，具有8年以上餐饮行业工作经验，5年以上相关管理岗位经验； 2、熟悉餐饮行业的相关法律法规，了解行业发展趋势，具备敏锐的市场洞察力，对为老助餐业务有一定理解； 3、具备良好的领导力和团队协作能力，能够带领团队实现业务目标，有较强的沟通协调能力和危机处理能力，能够妥善处理各种复杂问题；具备良好的职业道德和职业素养，注重诚信和团队合作； 4、具备管理学、社会工作等相关专业优先。,本科,8年及以上,医疗/护理/卫生,2026-01-12,2026-03-12,互联网/软硬件技术
2807,安诺优达基因科技（北京）股份有限公司,中国人寿,保险业,科研销售（北京）,北京,8000.0,15000.0,岗位职责： 1、负责指定区域的产品宣传、推广和销售，完成销售的任务指标和回款任务； 2、制定自己的销售计划，并按计划拜访客户和开发新客户； 3、宣传维护公司的品牌形象，提高公司知名度 ； 任职要求： 1、生物、农学或医学类相关专业，硕士及以上学历； 2、优秀的沟通能力和人际交往能力，抗压能力强； 3、具备较强的客户服务意识和责任感，做事积极主动，吃苦耐劳； 4、熟悉二代基因组测序技术及有销售工作经验者优先； 5、现有高校研究所或医院资源可意向转化者优先；,硕士,1年及以上,电子技术/半导体/集成电路,2026-01-29,2026-03-29,金融
2808,中国太平洋人寿保险股份有限公司,中国太保,保险业,理赔服务岗,北京,10000.0,15000.0,岗位职责： 1、负责理赔案件的受理、理算、审核及结案、给付； ?2、负责长期险理赔案件与营运中心的沟通、协调； ?3、负责内外部客户理赔服务及问题咨询、解答； ?4、负责理赔案例的编写、汇总； ?5、负责完成相关理赔数据的汇总、分析及报告制作； ?6、完成上级主管交办的其他工作，积极配合其他部门开展工作。 ? 职位要求： ?1、本科及以上学历，医学、法律、保险背景优先； ?2、有1年以上理赔从业经验者优先； ? 3、具有高度的责任心、准确的分析判断能力及良好的文字表达能力； ?4、具有良好的服务意识，认真、严谨、热情、善于沟通和协调； ?5、面对工作压力有较好的自我调解能力，工作能吃苦耐劳。 职位福利： 五险一金、交通补助、餐补、定期体检、补充医疗保险、带薪年假、采暖补贴、周末双休 马-克-数据,本科,经验不限,保险,2026-02-10,2026-04-10,人力/财务/行政
2809,中国中药控股有限公司,中国平安,保险业,学术专员（临床线）（成药营销中心）,清远,5000.0,10000.0,加入中国中药成药营销中心，我们将提供给您： 1、丰厚的薪资待遇： 岗位工资+绩效工资+区域补贴+通讯补贴+交通补贴+年终奖（根据不同岗位有所调整） 2、完善的培训机制： 通过内部培训、外部培训相结合的形式，根据个人职业发展规划量身定做相应的培训计划： 入职培训→岗位培训→技能培训→继续再教育培训→专项培训→管理培训 3、宽广的晋升空间： 临床代表——区域经理——大区经理——区域总监 4、和谐、奋进、快乐的企业文化? ? 岗位职责 1、根据区域规划及发展要求，确定负责区域具体的推广计划和方案； 2、根据负责区域的推广方案进行推广活动的筹备和实施，并按既定要求完成，对工作情况及相关信息及时准确汇报； 3、收集并及时向公司反馈相关市场信息； 4、客户开发与维护； 5、执行各类市场活动方案，确保执行效果，树立良好的企业及产品形象。? ? 任职要求 1、医药类、市场营销相关专业，本科及以上学历； 2、具有专业的市场推广能力，可独立开展相关学术活动； 3、具备良好的沟通能力和表达能力； 4、主动学习，积极自我提升； 5、对于上级安排的工作，认真、积极、准时完成。? 职位福利：五险一金、绩效奖金、通讯补助、周末双休、交通补助、学历提升支持、节日福利。,本科,经验不限,医药制造,2026-01-26,2026-03-26,销售/市场/客服
2810,中国平安人寿保险股份有限公司,中国平安,保险业,保险康养顾问高才计划（岳麓区02）,长沙,10000.0,20000.0,"一、职位背景 平安集团，作为中国领先的综合性金融服务集团，致力于为客户提供全方位的金融与医疗健康服务。近年来，平安人寿依托集团综合金融+医疗养老生态布局，推出6大产品+服务体系；顺应长寿时代发展趋势，响应国家高质量发展战略，重磅推出保险康养顾问培养计划。其中保险康养顾问高才计划是公司面向保险领域推出的高端人才发展项目，旨在招募三类精英人群：经验丰富的保险主管、业绩卓越的个人销售精英（***/普通绩优）、及无保险经验的高端金融人才。通过严格的选拔、专属培训及资源支持，培养复合型保险康养顾问，是“一站式解决方案的价值传递者”，助力您在保险行业实现职业跃升。 二、工作职责 客户咨询与服务：深入了解客户需求，通过专业咨询，是“一站式解决方案的价值传递者”。 客户关系管理：建立并维护良好的客户关系，定期回访客户，了解客户需求的变化。 3、市场拓展与营销：积极参与公司组织的各类市场拓展与营销活动，提升品牌知名度，吸引潜在客户。 4、团队协作与培训：与团队成员紧密合作，共同推动个人及团队发展；同时，参与内部培训，不断提升自身的专业素养和服务能力。 三、招募要求 1、年龄：25-55岁（根据人群略有差异，主管28-55周岁，无经验者25-55周岁）。 2、学历：主管/个人绩优要求大专及以上学历，过往无保险销售经验本科及以上学历。 3、品质：无不良从业记录、无违法犯罪或失信记录，业务品质良好。 4、过往从业经验：主管要求在保险行业连续任职满1年，且任主管6个月以上，过去5年任职公司≤2家；个人绩优要求在保险行业连续任职满2年，过去5年任职公司≤2家；无保险销售经验者要求金融行业（银行/证券/财富）销售或高级管理岗位2年以上。 四、职位亮点 1、高起点职级：根据考核结果及资质评估,有机会套转高职级并适当减免初期考核压力 2、享受专属津贴 3、专属入司流程：简化入司流程，入司更便捷 4、培训支持：保险主管及个人绩优免去常规培训，专属培训赋能 5、产品销售权限：产品权限快速开通，支持销售复杂及新型保险产品。 6、广阔的晋升发展空间：保险主管及个人绩优晋升考核减免，快速晋升 *本材料旨在招募保险代理人，其中“保险康养顾问”指的是保险代理人，其展业范围是销售保险",大专,5年及以上,保险,2026-01-07,2026-03-07,销售/市场/客服
2811,中国平安人寿保险股份有限公司,中国平安,保险业,NS管培生（销售策划）,深圳,7500.0,9000.0,结合外部经营环境及内部经营特点，制定分公司中长期发展策略 年度及阶段性推动目标、路径、策略规划，业务竞赛方案制定、宣导、兑现 营销活动策划、宣传、组织，营销荣誉体系搭建、宣导、组织 消保营销宣传材料管理制度等业务制度建立,本科,经验不限,保险,2026-03-02,2026-05-02,销售/市场/客服
2812,北京新华卓越康复医院有限公司,新华保险,保险业,老年医学科护士,北京,5000.0,7000.0,1.在康养中心主任及护士长的领导下进行工作； 2.参加每日晨会交班，查房并了解长者情况； 3.白班与夜班护士做好交接，清点康养中心物品、药品、仪器、设备等； 4.定期检查、清点抢救车内物品、药品，定点放置处于备用状态； 5.负责康养中心各项治疗护理工作，严格执行消毒隔离制度、无菌技术操作和查对制度，准确、及时地完成各项护理工作； 6.负责护理档案整理工作，认真书写交班报告、增值服务项目； 7.负责保管长者备用金并做好交接记录； 8.负责入住长者的药物核对发放，做到服药到口。每周二、五消毒药杯； 9.负责长者的护理评估工作，4h内出评估报告； 10.严格执行医嘱，积极配合医生工作； 11.护士每两周与护士长核对全部医嘱； 12.清点长者自带药品数量，不足三天时通知家属并交班； 13.接收长者及家属的自带药品，数量准确逐项登记。。 （更多数据，详见）,大专,5年及以上,医院,2026-01-22,2026-03-22,销售/市场/客服
2813,深圳平安综合金融服务有限公司,中国平安,保险业,12910V-客服业务专家（服务体验方向）,上海,15000.0,20000.0,1、客服中心全渠道客户体验管理，通过NPS、满意度全流程诊断及客户声音的等专项研究，推进产品、业务、技术等相关部门进行服务体验改善，作为PMO督导追踪各部门及分公司，确保各个体验管理项目达成效果； 2、统筹规划客服中心项目，打造最优服务体验，根据公司战略规划，建立专项跟进项目，推动并追踪总分项目落地成效，输出项目进展报告。 3、对标行业标杆，建设迭代客服中心全渠道服务管理制度、客户体验指标体系等，通过体验指标管理及专项分析，定位95511各渠道客户体验痛点，推动各渠道服务改善及效果闭环追踪； 4、围绕特殊人群，统筹规划客群服务工作落地，制定服务标准、运营检视机制、逐月跟踪服务水平、客户体验满意度等等服务指标，提升客服服务体验水平。 5、开展专项分析，洞察客诉群体、场景等变化趋势及业务风险点，推进部门及分公司迭代降诉策略，不限于队伍能力、专业公司权限、系统规则等改善，提升客服中心服务品质； 任职资格：教育程度：本科及以上学历，金融、保险、管理或相关专业优先 相关经验：有5年以上用户服务和体验体系化管理经验 专业能力： 1、具备金融服务行业视野及创新思维，优秀的结构化思维能力，能洞察用户痛点并把握问题本质，规划设计可行性方案； 2、具备良好的项目管理能力，具有较强的沟通及推动能力，能跨BU、部门组织协调工作确保项目成效； 3、具备良好的业务及数据分析能力，有数据思维并擅长数据洞察，能运用SQL、python等统计分析工具者优先； 4、具备良好的文案及表达能力，精通PPT撰写及应用，通过PPT进行项目或业务汇报； 5、具备较强的抗压能力，工作上有强烈的责任感与使命感，能够自我驱动不断提升。,本科,5年及以上,保险,2026-01-27,2026-03-27,销售/市场/客服
2814,平安证券,中国平安,保险业,证券存量客户投资顾问,深圳,15000.0,25000.0,1，公办统招本科及以上 2，证券从业资格证（必须） 3，毕业后空窗期不高于6个月 4，有证券行业经验者优先考虑,本科,3年及以上,证券/期货,2026-01-06,2026-03-06,人力/财务/行政
2815,中国平安人寿保险股份有限公司,中国平安,保险业,平安医疗服务推广专员招募计划（番四）,广州,10000.0,20000.0,【项目背景介绍】 中国平安在全球医疗领域深耕多年，已俘获了大量的先进医疗资源，致力于成为国际领先的综合金融、医疗养老服务供应商。平安重磅推出“平安超级健康俱乐部”会员体系，为会员提供全流程医疗服务，为家庭配置专属的家庭医生团队，帮助客户解决“医疗贵”和“医疗难”的问题。为让更多客户了解和体验这项服务，平安组建全新团队，邀请您的加入。 【职责】 依托集团“综合金融+医疗健康”的战略布局，向客户推荐及介绍“平安全新的全流程医疗服务”，并让达标客户成为我们的会员，为客户提供金融、健康、养老一站式解决方案。 【招募要求】 1、25-45周岁、大专及以上学历； 2、拥有良好的道德操守，诚信、自律的品质； 3、不甘平庸，勇于挑战追求成功的企图心； 4、具备医疗、管理、销售、法律等行业工作经验者优先 【福利待遇】 1、收入可期：最多20项收入项目，付出必有回报； 2、时间可控：工作时间相对自由，兼顾家庭生活； 3、多重津贴：优+新人拥有多重津贴，包括有优+启航津贴、优+护航津贴、新人训练津贴、新人首年特别奖励等； 4、福利保障：四项基本福利、基本养老补贴、长期服务奖、养老公积金、主管/绩优增值服务； 5、专业培训：公司即可参加公司的飞鹰班培训，提升专业技能；在平安期间，会接受各种专业及管理类训练；达标者可以前往国内***高校厦门大学，开启研修成长之旅，还可获得寿险总部的各类培训机会。 备注： 1、本文旨在招募平安保险代理人，本项目所招募人员与公司签署的是代理合同；平安人寿代理人仅作为集团服务的价值传递者，并不具备实际经营范畴； 2、该职位具体管理办法参照我司相关文件及规章制度执行；以上福利待遇仅为简单描述，具体内容详见公司相关文件及管理办法； 3、本文所涉全流程医疗服务、专属家庭医生由平安健康互联网股份有限公司提供或具有资质的其他第三方服务商提供。,大专,经验不限,保险,2026-03-03,2026-05-03,人力/财务/行政
2816,中国人寿保险股份有限公司,中国人寿,保险业,保险顾问,北京,14000.0,28000.0,我们正在寻找一位专业的保险顾问，负责为客户提供全面的保险咨询和规划服务。 工作内容： 1. 分析客户的保险需求，并提供合适的保险解决方案； 2. 与客户沟通，解释保险条款和计划； 3. 为客户提供续保、理赔等售后服务； 4. 参与保险产品的推广和营销活动。 岗位要求： 1. 具备良好的保险知识和产品了解； 2. 优秀的沟通能力和客户服务技巧； 3. 有责任心，能够处理客户的咨询和投诉； 4. 具备团队合作精神和良好的职业道德。,大专,3年及以上,保险,2026-03-02,2026-05-02,生产制造/汽车
