编号,企业名称,股票简称,上市公司行业,招聘岗位,工作城市,最低月薪,最高月薪,职位描述,学历要求,要求经验,招聘类别,招聘发布日期,招聘结束日期
4692,上海皓元医药股份有限公司,皓元医药,研究和试验发展,工程部实习生,重庆,2000.0,2500.0,一、岗位职责： 1、对医药生产设备进行巡检、保证设备正常进行； 2、记录各类生产设备相关的数据，保证数据完整； 二、任职要求： 1、机械制造、机电、工程类2026年应届毕业生； 2、有一定沟通能力，期望长期发展； 3、该岗位需要值夜班。,大专,3年及以上,制药/生物工程,2026-01-07,2026-03-07
4647,上海皓元医药股份有限公司,皓元医药,研究和试验发展,公用工程工程师,重庆,8000.0,12000.0,一、主要职责: 1. 项目建设期间：参与新车间建设项目，负责公用工程相关事务，如现场安装监督，配合完成现场相关调试、校验、验证以及验收等工作，保证满足使用要求，符合GMP车间要求。 2. 运营期间： 负责编制、修改本部门涉及GMP生产所需公用工程（水、蒸汽、电、气等）各项管理制度、规程，审核相关设备操作、维护保养及检修SOP，对操作、维护人员进行培训指导； 3. 保证锅炉、冷热水系统、污水处理、空调系统、压缩空气系统、大宗气体、纯化水系统、注射用水、纯蒸汽、BMS、EMS和电气及自动化系统等公用工程系统正常运行，保证车间温湿度、压差等在合格范围内，满足生产需求。 4. 负责按照操作规程定期对相关过滤器（空调系统初、中、高效过滤器；压缩空气、氮气、二氧化碳、氧气等过滤器）制定检测和更换计划，并确保按照计划执行。 5. 参与新厂房空调机房、制水机组的调试、验证、验收工作，后期能够独立开展调试与再验证工作。 6. 负责公用工程相关的能耗统计和分析，保证用水、用电、用气的正常和安全，能及时发现异常情况。 7. 负责设备、工程专业技术人员的团队管理工作，做好人员绩效评估和培训工作。 8. 确保公用工程管理符合GMP要求，对数据完整性进行监督和管理。 9. 负责第三方供应商的管理，确保其能提供满足公司要求的服务。 10. 依据工厂的生产计划，组织制定公用工程相关设备PM及计划并督促执行，确保设备设施的良好运行状态 11. 负责相关验证系统的变更，偏差，审计行动项的跟踪和落实。 12. 负责公用工程相关的安全、环境的监控，避免人身、设备事故及污染环境事故的。 13. 负责参与制定公司GMP生产所需的年度能源、备件预算及消耗定额，制定能源使用计划，定期组织水、电、蒸汽等能源消耗的分析，并进行统计考核，实现降本增效的目标。 14. 参与工厂年度设备评估，识别设备及系统的风险点，并制定改造计划。 15. 参与识别与工作岗位相关的环境因素及有效措施的制定与实施，减少对环境的影响。 16. 参与识别与工作岗位相关的危险源，参与制定及实施预防事件发生的有效措施以防止事故发生。 17. 负责上级领导安排的其他工作。 18. 公用工程设备包含：灭活系统、污水处理、空调系统、环境监测及控制系统、压缩空气、洁净室、传递窗、层流罩、锅炉、纯化水、纯蒸汽、注射用水、冷热水等。 二、任职资格： 1.具有4年及以上药厂公用系统工作经验，具备包括空调系统、压缩空气系统、、纯化水系统、BMS、EMS和电气及自动化系统等维护保养和简单维修技能。 2.具有一定应对中国GMP、美国FDA、欧盟EU审计的能力。 3.能够独立处理空调及制水机组设备的突发情况，保障工艺生产正常运行。 4.设备运行过程中出现变更、偏差时，能依据变更、偏差流程进行处理，并报告。 5.熟练掌握公用系统设备流程及验证流程。 6.熟练运用常用计算机办公软件及Auto CAD等相关工程专业软件。,大专,5年及以上,制药/生物工程,2026-01-07,2026-03-07
4590,广东南能汇智节能科技有限公司,南网能源,科技推广和应用服务业,（双休）储能电站运维站长,广州,15000.0,20000.0,岗位职责 1、运维体系搭建：负责储能站运维体系的搭建与完善，制定设备日常巡检、维护保养、检修等管理制度与标准流程，保障运维工作规范化开展。 2、运维管理工作：组建并带领运维团队开展设备日常监控、故障排查与维修，确保储能系统安全、稳定运行，提升设备可用率。 3、电站运营管理：结合电力市场规则与电价走势，制定并优化电站的充放电策略，协同交易员提升电站运营收益。对接电力交易相关部门，参与电力市场交易（如现货、辅助服务等）的申报、结算等工作，确保交易合规、收益稳定。 4、团队与安全管理：负责运维团队的建设、培训与考核；落实安全生产责任制，组织应急演练，确保合规运营。 任职要求 1、大专及以上学历，电力系统、电气工程、新能源、储能等相关专业。 ?精通储能系统（电池、PCS、BMS、EMS）的运行原理、故障诊断及日常维护；能够分析电站运行数据（如电池健康度、充放电效率），提出优化建议。 2、具备储能运维体系搭建能力，熟练掌握运维管理流程，能有效统筹运维团队开展工作；懂储能策略制定与电力市场交易实操者优先。 3、至少3年以上储能电站或新能源场站（光伏、风电）的运维经验，其中至少2年独立负责或主导大储/独立储能/网侧储能电站的现场运营管理经验。 4、具备较强的安全意识、数据分析能力与应急处置能力，能及时处理运维与运营过程中的突发问题。 5、持有电工证、登高证、注册安全工程师、中级及以上工程师职称等相关运维资质证书者优先。,大专,3年及以上,电气/电力/水利,2026-01-22,2026-03-22
4591,广东南能汇智节能科技有限公司,南网能源,科技推广和应用服务业,（双休）业务/项目助理（核算结算方向）南网驻场岗,广州,4000.0,8000.0,注：本岗位需驻场南网公司进行工作，上班地点为黄埔区。 岗位职责： 1. 票据与合同管理：负责销售合同结算条款梳理，建立并维护合同管理台账，确保合同信息完整、可追溯；重点审核电费收入结算单及各类相关票据，核对数据准确性、合规性，梳理核算过程中出现的争议点并记录反馈。 2. 收支台账核算：录入项目收支明细，汇总整理收支台账，严格把控数据质量，确保台账信息准确、完整、可查；每月按时完成业财对账工作，排查对账差异，协同相关部门完成差异整改。 3. 结算流程推进：及时将审核无误的结算单转交管理部门及经营单位开具发票，同步接收各类票据并准确传达给对应业务人员，保障开票、传票流程高效衔接，不延误结算进度。 4. 沟通协调对接：协调业务、财务、管理部门及经营单位等各方，沟通解决核算、结算过程中的各类问题，反馈争议点解决方案，保障核算及结算工作顺利推进；做好各方沟通记录，确保信息传递准确无误。 5. 辅助核算相关工作：协助完成光伏电站电费单编制、账单处理等相关运营结算辅助工作（有相关经验者优先）；配合完成项目核算相关的其他临时性工作。 任职要求： 1. 学历要求：本科及以上学历，财务、会计、工商管理、项目管理等相关专业优先。 2. 经验要求：1-2年及以上业务助理、项目助理或核算结算相关工作经验；具备光伏电站电费结算、账单处理或运营结算经验者优先，熟悉光伏电价政策及结算流程者优先考虑。 3. 核心能力： - 具备较强的票据、合同审核能力，细心严谨，能精准排查数据及条款中的问题，确保工作零失误； - 熟练掌握台账建立、数据录入与汇总技巧，能熟练使用Excel等办公软件，具备基础的数据整理与分析能力； - 沟通协调能力突出，善于对接多方主体，能清晰表达需求、反馈问题，高效推进事项解决； - 具备良好的责任心、执行力和团队协作意识，能按时完成各项工作任务，主动应对工作中的各类突发情况； - 了解相关财务核算规范、合同管理基础流程，有光伏行业相关从业经验者可适当放宽条件。 4. 其他要求：工作认真负责，原则性强，具备良好的职业素养和保密意识；能适应基础的加班及临时性工作安排。,本科,2年及以上,电气/电力/水利,2026-02-05,2026-04-05
4595,广东南能汇智节能科技有限公司,南网能源,科技推广和应用服务业,储能运维运营经理,广州,10000.0,15000.0,岗位职责 1、运维体系搭建：负责储能站运维体系的搭建与完善，制定设备日常巡检、维护保养、检修等管理制度与标准流程，保障运维工作规范化开展。 2、运维管理工作：组建并带领运维团队开展设备日常监控、故障排查与维修，确保储能系统安全、稳定运行，提升设备可用率。 3、电站运营管理：结合电力市场规则与电价走势，制定并优化电站的充放电策略，协同交易员提升电站运营收益。对接电力交易相关部门，参与电力市场交易（如现货、辅助服务等）的申报、结算等工作，确保交易合规、收益稳定。 4、团队与安全管理：负责运维团队的建设、培训与考核；落实安全生产责任制，组织应急演练，确保合规运营。 任职要求 1、大专及以上学历，电力系统、电气工程、新能源、储能等相关专业。 ?精通储能系统（电池、PCS、BMS、EMS）的运行原理、故障诊断及日常维护；能够分析电站运行数据（如电池健康度、充放电效率），提出优化建议。 2、具备储能运维体系搭建能力，熟练掌握运维管理流程，能有效统筹运维团队开展工作；懂储能策略制定与电力市场交易实操者优先。 3、至少3年以上储能电站或新能源场站（光伏、风电）的运维经验，其中至少2年独立负责或主导大储/独立储能/网侧储能电站的现场运营管理经验。 4、具备较强的安全意识、数据分析能力与应急处置能力，能及时处理运维与运营过程中的突发问题。 5、持有电工证、登高证、注册安全工程师、中级及以上工程师职称等相关运维资质证书者优先,大专,3年及以上,电气/电力/水利,2026-01-14,2026-03-14
4604,观典防务(河北)特种装备有限公司,观典防务,科技推广和应用服务业,视觉设计师,北京,10000.0,15000.0,岗位职责 1、负责公司品牌传播及产品传播全链路视觉内容创作，包括但不限于： 2、平面类：宣传海报、长图、画册、展板、PPT模板、产品手册等； 3、视频类：宣传片、产品演示视频、短视频、动态图形等； 4、高效执行从创意构思到成品输出的全流程，确保设计风格统一、信息准确、视觉专业； 5、紧密配合品牌、市场及业务团队，快速理解项目背景与核心诉求，提供高水准视觉解决方案； 6、持续探索AI工具在设计流程中的创新应用（如AI绘图、智能剪辑、文案辅助等），提升内容生产效率与表现力； 7、 关注军事、安防、科技等领域视觉趋势，为品牌注入硬核、可靠、前沿的视觉语言。 任职要求 1、 精通 Photoshop、Premiere Pro/剪映、After Effects等设计软件，能高效产出图片及视频； 2、 具备扎实的排版、色彩、构图能力，对印刷与数字媒体输出规范有清晰认知； 3、 对 AI 工具（如 Midjourney、Runway、Suno、ComfyUI 等）有浓厚兴趣并已深度使用； 4、 热爱钻研新技术，能主动将 AI 融入设计工作流，提升创意与效率； 5、 对军事、枪械、航空航天、公共安全等领域有浓厚兴趣或知识积累； 6、 审美硬朗、理性，擅长表达“科技感”“可靠性”“力量感”等品牌调性； 7、 年龄22–30岁，学习能力强，能快速理解复杂业务与技术概念； 8、执行力强，抗压能力好，能在快节奏环境中高质量交付； 9、责任心强，注重细节，对作品有“极致可靠”的自我要求。,本科,5年及以上,专用设备制造,2026-01-14,2026-03-14
4979,上海庞源机械租赁有限公司,建设机械,租赁业,报装资料员,广州,5000.0,7000.0,岗位职责： 负责公司塔式起重机、施工升降机报装报检资料及系统申报工作。 任职要求： 大专及以上学历，熟悉塔机、施工梯报装报检整套流程。 此岗位工作地点：珠海 （来自 ）,大专,3年及以上,电气机械/电力设备,2026-02-26,2026-04-26
4980,浙江海控南科华铁数智科技股份有限公司,海南华铁,租赁业,叉车大客户业务经理（广东区域）,广州,15000.0,30000.0,岗位职责： 1. 快运物流、电商快递、汽车、新能源等行业客户开拓，主导全国性叉车租赁框架协议谈判与签署，达成规模性营收突破及新增在租台量目标，助力公司树立行业品牌领导地位； 2. 针对大客户复杂合作场景（如多区域履约、大额结算），评估客户资信等级与合作风险，跟踪应收帐款动态，确保货款、合同及业务单据 100% 合规回收； 3. 在大客户开发专项基金框架内，审核并控制销售费用（如高层公关、客户考察、行业峰会），提升费用投入产出比，满足公司成本控制指标； 4. 高频对接大客户集团总部、中央采购部及区域分拨中心、工厂关键决策人，挖掘 “大促峰值保障”、“新仓规划”、“绿链合规” 等深层需求，建立长期稳固的客户关系；及时响应客户异议与投诉，确保客户满意度； 5. 统筹客户需求转化、方案落地、设备交付及售后保障全流程，确保合作顺畅； 6. 收集目标行业市场行情（如竞品租赁方案、价格体系、服务标准）及客户交易数据，综合分析后输出市场对策建议，为采购、生产及产品策略提供支持； 7. 按要求建立大客户全生命周期台账，详细记录框架协议条款、区域订单履约情况、客户反馈、拜访记录等关键信息，确保数据可追溯、可分析。 任职要求： 1. 年龄：25-40 周岁（具备 5 年以上目标行业大客户资源者，年龄可适当放宽）； 2.学历：大专及以上学历，物流管理、市场营销相关专业优先； 3. 3 年以上 B2B 大客户销售经验，有叉车租赁、物流设备（如仓储集成）、叉车主机厂（杭叉、合力、林德等）相关经验优先； 4.其他：需自备车辆（公司提供车补及油费补贴）；能适应跨区域出差（如拜访异地客户工厂/分拨中心） 地点全国可选,大专,5年及以上,租赁服务,2026-02-27,2026-04-27
4984,浙江海控南科华铁数智科技股份有限公司,海南华铁,租赁业,叉车业务员,廊坊,10000.0,15000.0,岗位职责： 1.根据区域内具体的叉车租赁目标，执行租赁计划，保证实现本区域的市场占有率和租赁目标。 2.评估客户资信，跟踪资信使用情况，确保其处于正常范围，分析每月应收帐反馈信息，确保货款，业务合同，业务单据等的顺利回收。 3.根据销售部门的费用预算指标完成叉车租赁任务，审核、控制并不断降低销售费用，保证完成公司的销售费用控制指标。 4.拜访本区域的重要客户，了解客户需求动态，挖掘潜在客户，建立顺畅的客户沟通渠道。及时处理客户异议和投诉，以提高客户满意度，建立长期、良好、稳固的区域客户关系。 5.与售后服务、技术等部门积极协作所辖区域的收发货、协调维修等工作，共同实现售后服务目标。 6.收集本区域的市场行情变化信息，综合分析、预测并制定对策，及时向相关部门提供建议；通过对客户档案、交易记录的分析，为采购、生产等决策提供支持。 7.按公司及所属部门要求及时做好每天工作台账：包括但不限于业务记录、客户信息、拜访客户数、应收账款，业务合同，业务单据等信息。 任职要求： 1.一年以上叉车/工程机械销售工作经验。 2.大专以上学历，能够操作基本的办公设备及办公软件。 3.年龄在20-35岁之间。 4.吃苦耐劳、踏实勤奋，具备较强的公关、组织、应变能力，诚实稳重，亲和力好，责任感强。 5.需自备车辆（公司提供车补和油费补贴）。。,大专,3年及以上,租赁服务,2026-02-10,2026-04-10
4993,浙江海控南科华铁数智科技股份有限公司,海南华铁,租赁业,售后维修工程师（甘肃）,酒泉,6000.0,12000.0,工作内容： 1、新设备接机、设备调拨相关工作准备、实施、闭环，异议问题时及时反馈。 2、设备进场时设备选择、辅助吊装及运输、客户联系、进场单填写跟踪、交机培训到位、相关线上流程闭环。 3、设备退场时客户确认、设备信息核对、设备缺损情况检查、退场单填写跟踪、完成实际退场工作，设备定损并将相关线上流程闭环。 4、设备技改、维修、巡检、保养、返场检修等现场实施性工作按标准可靠实施、相关信息录入。 5、设备报停信息核对，现场工作按标准要求实施到位。 6、级领导交办的其他事务。 任职资格： 1、学历教育：学历不限，机械、车辆、电气等相关专业。 2、专业知识：全面的专业知识、设备服务保障处理经验；熟悉相关服务流程。 3、工作经验：1年以上的一线服务相关工作经验。 4、技能技巧：有良好的沟通能力，有良好的纪律性、自律性以及对工作认真、细致、负责的态度，并能在压力下工作；能较熟练使用EXCEL、WORD等办公软件，能熟练使用手机独立完成相关信息录入。 5、有驾驶证优先，能够驻工地工作，并适应长期驻外工作。 6、征信良好，过往无违规违纪行为。,学历不限,3年及以上,租赁服务,2026-01-16,2026-03-16
4232,旷达科技集团股份有限公司,旷达科技,纺织业,质量工程师,常州,5000.0,8000.0,岗位职责： 1.负责及时处理生产过程、成品质量问题，并协助相关部门分析原因，制定整改措施，跟踪问题关闭情况，必要时组织专题质量会议。 2.负责接收顾客抱怨信息，按照顾客要求编制问题分析报告，按时提交给顾客，编制并维护顾客抱怨台账，将相关资料收集并存档。 3.负责组织公司质量分析会议，定期向领导汇报内外部发生的质量问题，组织不合格品处置和解决方案的通报。 4.负责收集质量基础数据，每月统计分析，形成质量报表，产品质量问题整改，跟踪验证。 任职资格： 1.大专及以上学历。 2.服装设计与工程、工业工程、质量管理工程等专业，有质量管理工作经验者优先录取。,大专,经验不限,服装/纺织/皮革,2026-02-28,2026-04-28
4228,东莞沙田丽海纺织印染有限公司,华孚时尚,纺织业,文秘类管培生,东莞,5000.0,8000.0,【工作内容】 1、负责总经理讲话稿、会议纪要等文书起草与公文流转归档； 2、跟进会议安排，跟进决议落地； 3、独立完成报告、台账等有关工作； 4、协助上级完成其他临时性工作。 【任职要求】 1、本科及以上学历，汉语言文学、英语、秘书学、新闻学等相关专业优先；欢迎优秀应届生。 2、具备良好的沟通能力和团队协作精神； 3、熟悉办公软件操作，如Word、Excel、PPT等，具备良好的书面撰写能力； 4、工作细致认真，责任心强、保密意识高，能适应灵活的工作安排。 注：如对此岗位有兴趣，请提交相关能体现个人文笔水平的资料。,本科,经验不限,服装/纺织/皮革,2026-02-26,2026-04-26
4171,稳健医疗用品股份有限公司,稳健医疗,纺织业,费用经理,深圳,18000.0,25000.0,工作职责: 工作职责： 1、负责员工费用报销、对公付款等单据的审核、确保合规性、准确性，并进行账务处理； 2、统筹公司费用管理相关制度、流程、系统及工具的制定、优化与持续改进，确保高效运转； 3、参与费用管理相关业务流程的设计、标准化与优化，识别费用管理中的瓶颈与风险点，主导完善相关管控政策与制度，持续提升费用核算的质量和效率； 4、深度参与财经领域数字化项目，推动费用管理业务场景的IT化落地，确保费用核算体系满足公司精细化（最小颗粒度） 管理要求。 5、带领4-7人的小组，负责小组成员的目标设定、绩效管理、工作指导与发展规划；营造积极向上的团队氛围，激励团队成员持续提升专业技能、工作效率及综合素质； 6、完成上级交办的其他相关工作。 任职资格: 任职资格： 1、本科及以上学历，财务相关专业，有5年以上财务相关工作经验； 2、有财务共享中心工作经验、并参与过财经相关数字化项目；能熟练使用SAP软件或其他费控系统； 3、专业基础扎实，了解国家财经政策、会计、税务法规、企业会计准则等，熟悉财务核算流程; 4、较强的内驱力、高度的责任感、严谨的工作态度；具体团队协作精神、良好的沟通协调能力，及较高的执行力，能承受较强的工作压力； 5、中级会计师职称为必须，有通过CPA考试者为佳。,本科,5年及以上,医疗/护理/卫生,2026-01-29,2026-03-29
4214,苏州太湖雪丝绸股份有限公司,太湖雪,纺织业,私域运营与会员增长专员,苏州,10000.0,15000.0,岗位职责： 1、全链路运营：负责线上线下打通后的会员体系（积分、权益）与私域（社群、小程序）整体运营，提升活跃度与复购。 2、赋能导购：制定标准、提供工具并培训线下导购，指导其进行会员维系与社群深度运营。 3、小程序投流：负责微信生态广告投放，精准拉新获客，并优化引流转化效果与ROI。 4、数据分析：监控会员核心指标，通过数据驱动策略迭代，实现会员增长与销售提升。 要求： 1、28-35岁，211本科以上学历，3年以上私域运营经验，有线上线下融合经验者优先。必备两项核心技能：精通广告投放，具备2-3个成功项目案例。 2、强数据分析能力，能独立完成策略复盘与优化。 3、优秀沟通能力，能有效培训与协同线下团队。 4、有消费品（服饰、化妆品优先）行业经验者优先。,本科,3年及以上,服装/纺织/皮革,2026-01-13,2026-03-13
3893,浙江森马服饰股份有限公司,森马服饰,纺织服装、服饰业,商品企划 (MJ005249),上海,15000.0,22000.0,主要职责： 1、承接公司级策略目标：年度、季度开发及采购目标（产品线/品类/有效投放宽度/新品全生命周期管理/定价策略/柔性供应等）;保证公司级量本利达成及战略目标落位。 2、行业趋势解读及爆款产品的规划与落位；季度企划案制定，保证负责产品线产品方向明确、结构完整；与设计组协调产品结构开发 ，满足市场和差异化消费者需求，同时帮助公司更好的针对区域差异性做系列组货开发规划。定期跟进检视修正，保证目标策略精准度。 3、通过市场走访、 竞品分析、历史数据分析、消费者调研等 ，完成企划分析工作，指引产品策略和方向；定期走访，了解消费动向和售后反应，了解自身产品优劣，熟悉周边品牌的商品状况，下一季度复盘策略制定。 任职资格 1、服装纺织/服装工程及服装设计类专业，本科及以上学历，有5年左右商品企划或买手相关工作经验； 2、熟练的数据分析能力，具备消费者同理心、商业敏锐度、市场洞察力，同时不断提升产品美学素养，流行感知力； 3、有较强的产品理解力，战略思维和规划能力，通过创新思维意识，持续学习/好奇心与求知欲； 4、产品体系构建能力，跨部门沟通能力，资源整合能力。,本科,5年及以上,多元化业务集团公司,2026-02-25,2026-04-25
3889,浙江伟星实业发展股份有限公司,伟星股份,纺织服装、服饰业,外贸销售代表,深圳,7000.0,12000.0,中国民营企业500强！上市公司！团队氛围好！学习晋升机会多！ 浙江伟星实业发展股份有限公司（以下简称公司）创立于1976年，主营钮扣、拉链、金属制品、塑胶制品、织带、绳带和标牌等服饰及箱包辅料产品，是面向全球的中国服饰辅料行业领军企业，中国钮扣、拉链行业标准的主要起草单位，也是中国钮扣与拉链行业上市公司(证券简称：伟星股份；股票代码：002003)。 岗位职责： 1、负责公司产品的销售及推广，根据公司年销售计划完成部门销售指标； 2、负责维护客户工作，做好报价、打样、大货、回款等业务全流程工作； 3、负责处理与客户、工厂的沟通协调工作； 4、开拓新市场，发展新客户； 5、负责辖区市场信息的收集及竞争对手的分析。 任职要求： 1、本科及以上学历，英文六级以上，口语良好； 2、勤勉、自律、纪律性强、有激情； 3、品貌端正，思想积极向上，为人热情大方，具有团队合作精神，忠于职守； 4、具有良好的沟通、组织协调、应变能力，并有一定的抗压能力； 5、具备一定的市场分析及判断能力，良好的客户服务意识。 （ ） （来 自 ）,本科,2年及以上,服装/纺织/皮革,2026-03-02,2026-05-02
3832,上海华瑞银行股份有限公司,美邦服饰,纺织服装、服饰业,反洗钱可疑交易分析岗,上海,12500.0,20833.0,岗位职责： 1、熟练掌握可疑交易分析技能，能根据客户交易特征、能独立完成自然人客户、非自然人客户可疑交易分析并撰写可疑交易报告； 2、了解客户尽职调查要点，发起或调整客户客户洗钱风险评级，并采取相应管控措施； 3、熟悉反洗钱法律法规，对行内各项制度提出反洗钱合规意见，并开展反洗钱合规检查。 任职要求： 1、至少5年以上反洗钱工作经验； 2、本科及以上学历，金融、经济、法律专业优先。 3、具有较好的文字功底，能独立撰写各项反洗钱报告。,本科,5年及以上,银行,2026-01-05,2026-03-05
3875,坤能智慧能源服务集团股份有限公司,雅戈尔,纺织服装、服饰业,电气工程师,宁波,8000.0,15000.0,岗位职责： 1、项目现场踏勘、屋面测绘、无人机建模； 2、光伏相关专业施工图绘制； 3、EPC项目施工图审核； 4、前期项目可行性分析，优化电气设计方案，降低能耗与线损。 岗位要求： 1、本科及以上学历，电力、电气等相关专业； 2、5年以上电气设计经验，熟悉电力、电气工程（变配电、新能源发电）设计； 3、熟练使用电气设计软件、cad画图软件； 4、能适应短期出差。,本科,5年及以上,电气/电力/水利,2026-03-02,2026-05-02
2507,中科悦达（上海）材料科技有限公司,悦达投资,综合,营销总监,上海,25000.0,41667.0,岗位职责： 1.负责公司营销体系建设，制定和落实销售制度和流程，确保销售活动规范、高效运行。 2.负责制定石墨烯材料产品的市场营销策略和推广计划，确保按公司计划完成销售目标。 3.负责营销团队管理和人员培养，确保团队的有效运作，促成销售目标达成。 4.负责市场调研和竞争分析，监测市场趋势和竞争对手动态。根据市场情况，调整产品定位和推广策略，以保持竞争力。 5.定期进行分析和评估销售情况，根据分析结果编制相关报告，制定行动计划，改进销售成效。 6.负责制定销售预算方案，确保资源的合理使用和预算有效控制。 7.负责品牌推广和管理，开展品牌宣传活动，提升公司品牌知名度和形象。 8.负责与重要客户建立并维护良好的关系。 9.领导交办的其他事项。 任职要求： 1.本科及以上学历，市场营销、物理、化学或相关专业； 2.从事市场营销工作5年以上，有丰富的市场营销管理经验，具有石墨烯材料或新材料行业（电池、金属复合、工程塑料等）从业经验者优先； 3.具备深入了解市场和客户需求的能力，能够制定有效的市场营销策略； 4.具备良好的团队管理和领导能力，能够激励团队成员的积极性和工作效能； 5.具有较强的数据分析和决策能力，能够准确把握市场趋势和客户动态； 6.具备良好的沟通和协调能力，能够有效与各部门合作，实现公司整体目标； 7.具备创新思维和市场敏感性，能够快速反应市场变化，并采取相应的行动； 8.具备较强的抗压能力和应对变化能力。,本科,5年及以上,原材料和加工,2026-03-03,2026-05-03
2512,宜昌东阳光长江药业股份有限公司,东阳光,综合,医药代表,朝阳,5000.0,7000.0,【工作职责】 ① 负责产品开发上量工作； ② 了解客户需求维护良好的客情关系； ③ 协助参与公司与市场相关的推广活动； ④ 增加公司产品在目标终端和目标客户的覆盖； ⑤ 根据公司销售计划完成销售目标。 任职资格: 【任职资格】 ① 市场营销、医药等相关专业本科以上学历优先； ② 良好沟通表达能力，待人亲和，热情； ③执行力、抗压能力、学习能力强、积极配合工作安排，结果导向，乐观向上，具有团队协作精神。,本科,3年及以上,制药/生物工程,2026-01-13,2026-03-13
2553,浙江图讯科技股份有限公司,美都能源,综合,驻点工程师,杭州,5000.0,6500.0,岗位职责： 1、维护驻点单位机房网络的安全和稳定，处理驻点单位以及相关客户的网络故障； 2、维护驻点单位网络应用相关的业务服务器； 3、定期设备的巡检，根据需求制定网络架构以及优化方案； 4、配合完成用户安排的工作。 任职要求： 1、驻点在客户单位，负责客户单位部分文书编写及整理，处理往来文件传达； 2、有信创国产终端、打印机实施运维经验优先、3年以上工作经验； 3、具有良好的团队协作精神，能承受一定的工作压力，能够适应夜间ON CALL任务； 4、完成公司的工作安排，及时跟进并反馈各项目业务进度情况等； 5、与客户建立良好关系，宣传和维护公司形象。 工作地点：余杭区政府,大专,1年及以上,计算机软件,2026-03-03,2026-05-03
2538,乳源东阳光氟树脂有限公司,东阳光,综合,外语销售工程师,韶关,6000.0,12000.0,岗位内容： 1. 负责销售区域内的市场开拓、客户维护及订单执行等工作； 2. 制定销售计划和实施方案，完成销售指标； 3. 提供技术支持，并协助客户在规定时间内完成产品接收与验收； 4. 参与公司产品分析、研究，将市场反馈及时传达到公司上层管理层。 任职要求： 1.大专及以上学历，英语、韩语等小语种；具有一定的销售或技术背景优先考虑； 2. 一年及以上销售工程师相关工作经验优先； 3. 具备良好的销售技巧、商务谈判能力、市场开拓能力优先； 4. 工作耐心细致，能承受一定的工作压力，善于团队合作优先。,大专,3年及以上,化学原料/化学制品,2026-02-04,2026-04-04
1644,广东南航明珠航空服务有限公司,南方航空,航空运输业,酒店机场代表,广州,3000.0,4000.0,1.在机场服务点迎接酒店住店旅客，核对预订信息，提供欢迎问候与行程指引，协助旅客提取行李、联系酒店接送车辆。 2.为旅客提供酒店相关信息（如房型设施、餐饮服务、周边交通）、机场出行信息（如值机柜台、登机口、行李托运规定），耐心回应旅客疑问。 3.统筹酒店机场接送车辆调度，确保车辆按时抵达机场接客，跟踪车辆行驶状态，处理接送途中突发情况（如堵车、车辆故障），及时告知旅客并协调解决方案。 4.与酒店前厅部、客房部等部门同步旅客到店信息（如预计抵达时间、特殊需求），确保旅客到店后服务无缝衔接；收集旅客对机场服务的意见建议，定期整理上报。 5.在机场服务期间保持良好仪容仪表（按酒店着装规范），文明用语、热情服务，向旅客传递酒店品牌理念，提升酒店在机场场景的品牌知名度与好感度。,大专,经验不限,餐饮服务,2026-01-04,2026-03-04
1650,华夏航空,华夏航空,航空运输业,旅游产品核销,重庆,6000.0,10000.0,。工作内容 1. 负责旅游产品核销全流程操作，包括电子核销、纸质核销、系统核销等，严格按照公司规范及产品要求，核对核销信息，确保核销数据真实、准确、完整，杜绝错核、漏核、虚核情况。 2.对接游客及前端客服，解答游客关于核销流程、核销异常的咨询，耐心处理游客核销相关诉求，规范沟通话术，提升游客核销体验；协助优化客服核销咨询话术及指引，提升客服团队核销相关服务效率。 3.处理核销过程中的异常情况，包括游客核销失败、订单信息不符、产品核销异常等，联动相关岗位快速响应，给出解决方案，降低游客投诉率，保障核销工作顺畅推进。 任职要求 1. 学历大专及以上，1年旅游客服核销经验、旅游门店销售经验、计调岗位经验三者之一及以上，熟悉旅游产品（门票、线路、酒店等）的核销流程及行业规范。 2. 熟悉旅游行业核销系统，能熟练操作核销相关软件及办公软件，具备基础的数据整理及分析能力。 3. 了解旅游产品销售、计调工作流程，能快速衔接各岗位工作，具备良好的跨岗位协同意识及沟通能力。 4. 具备良好的沟通表达能力、问题解决能力、执行力及抗压能力，能耐心解答游客及相关岗位的咨询。,大专,3年及以上,船舶/航空/航天/火车制造,2026-02-26,2026-04-26
